file,page,value,Actual,Match,,engine,confidence,region,needs_review,review_reason,trace
2020492_0-0.PDF,1,0-0,0-0,1,,native,high,bl_revtable,no,,"file=2020492_0-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=0 layout=modern size=(595x842) tokens=244 | markers=['Issue', 'Rev', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'issue'@(359,655) | grid_xs=(-1.0, 574.1235555013021) grid_ys=(22.254977703094482, -1.0) |   marker 'Issue'@(53,785) => no value |   marker 'Rev'@(551,777) => 1 region=br_title score=141.0 |   marker 'Rev'@(72,671) => 0-0 region=bl_revtable score=134.8 |   marker 'Rev.'@(245,671) => no value | consolidated => 0-0 region=bl_revtable"
2020660_1-0.PDF,1,1-0,1-0,1,,native,high,bl_revtable,no,,"file=2020660_1-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=309 | markers=['Rev', 'Issue', 'Rev', 'Rev.'] |   skip inline ref     'Rev'@(73,807) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Rev'@(1147,777) => 1 region=br_title score=140.9 |   marker 'Issue'@(42,799) => 1-0 region=bl_revtable score=114.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 1-0 region=bl_revtable"
2020662_1-0.PDF,1,2,1-0,0,,native,high,br_title,no,,"file=2020662_1-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=428 | markers=['Rev', 'Issue', 'Rev', 'Rev.', 'ISSUE'] |   skip inline ref     'Rev'@(72,803) |   skip inline ref     'ISSUE'@(933,501) | grid_xs=(49.33324178059896, 1168.9359919230144) grid_ys=(19.855581283569336, 819.1761779785156) |   marker 'Rev'@(1146,775) => 2 region=br_title score=140.9 |   marker 'Issue'@(42,796) => 1 region=bl_revtable score=96.1 |   marker 'Rev.'@(241,803) => no value | consolidated => 2 region=br_title | page=2 rot=90 layout=modern size=(1191x842) tokens=210 | markers=['Rev', 'Issue', 'Rev', 'Rev.'] |   skip inline ref     'Rev'@(72,803) | grid_xs=(49.33324178059896, 1168.9359919230144) grid_ys=(19.855581283569336, 819.1761779785156) |   marker 'Rev'@(1146,775) => 2 region=br_title score=140.9 |   marker 'Issue'@(42,796) => 1-0 region=bl_revtable score=114.8 |   marker 'Rev.'@(241,803) => no value | consolidated => 1-0 region=bl_revtable"
2020700_1-0.PDF,1,1,1-0,0,,native,high,br_title,no,,"file=2020700_1-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=475 | markers=['Rev', 'Issue', 'Rev', 'Rev.'] |   skip inline ref     'Rev'@(73,807) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Rev'@(1147,777) => 1 region=br_title score=140.9 |   marker 'Issue'@(42,799) => C region=bl_revtable score=96.3 |   marker 'Rev.'@(245,807) => no value | consolidated => 1 region=br_title"
2021489_0-0.PDF,1,0-0,0-0,1,,native,high,bl_revtable,no,,"file=2021489_0-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=0 layout=modern size=(595x842) tokens=139 | markers=['Issue', 'Rev', 'rev', 'Rev', 'Rev.', 'rev', 'issue'] |   skip inline ref     'issue'@(359,706) | grid_xs=(-1.0, 574.1235555013021) grid_ys=(22.254977703094482, -1.0) |   marker 'Issue'@(53,785) => 0-0 region=bl_revtable score=99.8 |   marker 'Rev'@(551,777) => 1 region=br_title score=140.9 |   marker 'rev'@(524,744) => 1 region=br_title score=127.8 |   marker 'Rev'@(72,722) => 0-0 region=bl_revtable score=134.9 |   marker 'Rev.'@(245,722) => no value |   marker 'rev'@(422,436) => 0-1 region=other_misc score=74.5 | consolidated => 0-0 region=bl_revtable"
2025397_1-0.PDF,1,1,1-0,0,,native,high,br_title,no,,"file=2025397_1-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=474 | markers=['Rev', 'Issue', 'Rev', 'Rev.'] |   skip inline ref     'Rev'@(73,807) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Rev'@(1147,777) => 1 region=br_title score=140.9 |   marker 'Issue'@(42,799) => C region=bl_revtable score=96.7 |   marker 'Rev.'@(245,807) => R region=bl_revtable score=100.6 | consolidated => 1 region=br_title"
2026026_0-0.PDF,1,0-0,0-0,1,,native,high,bl_revtable,no,,"file=2026026_0-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=172 | markers=['Issue', 'Rev', 'Rev.', 'Rev', 'issue'] |   skip inline ref     'Rev'@(73,807) |   skip inline ref     'issue'@(360,786) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.7 |   marker 'Rev.'@(242,807) => no value |   marker 'Rev'@(1147,777) => 1 region=br_title score=140.9 | consolidated => 0-0 region=bl_revtable"
2026392_0-0.PDF,1,0-0,0-0,1,,native,high,bl_revtable,no,,"file=2026392_0-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=234 | markers=['Issue', 'Rev', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'Rev'@(74,807) |   skip inline ref     'issue'@(360,786) | grid_xs=(51.49327596028646, 1171.1359227498372) grid_ys=(23.455583572387695, 822.8961563110352) |   marker 'Issue'@(44,800) => 0-0 region=bl_revtable score=115.3 |   marker 'Rev'@(1148,778) => 1 region=br_title score=140.9 |   marker 'Rev.'@(243,807) => no value | consolidated => 0-0 region=bl_revtable"
2030575_1-1.PDF,1,1-1,1-1,1,,native,high,bl_revtable,no,,"file=2030575_1-1.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=365 | markers=['Rev', 'Issue', 'Rev', 'Rev.'] |   skip inline ref     'Rev'@(73,807) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.332178592681885, 821.6527481079102) |   marker 'Rev'@(1147,777) => 1 region=br_title score=140.9 |   marker 'Issue'@(42,799) => 1-1 region=bl_revtable score=114.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 1-1 region=bl_revtable"
2035711_0-0.PDF,1,1,0-0,0,,native,high,br_title,no,,"file=2035711_0-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=266 | markers=['Issue', 'Rev', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'Rev'@(73,807) |   skip inline ref     'issue'@(360,786) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => C region=bl_revtable score=99.8 |   marker 'Rev'@(1147,777) => 1 region=br_title score=140.5 |   marker 'Rev.'@(245,807) => no value | consolidated => 1 region=br_title"
